date,url,rating,user,opinion
on 22 April 2018,/gp/customer-reviews/R30EHTXHHN58W8?ASIN=B01DDP7D6W,5,Nil..,"Good deal, better than mobile shop....."
on 12 October 2017,/gp/customer-reviews/R3OPNLOT3RRF4T?ASIN=B01DDP7D6W,4,B.sathish,Good
on 23 September 2016,/gp/customer-reviews/R3EGWN86VX11SG?ASIN=B01DDP7D6W,2,Amazon Customer,I am a samsung user this phone is almost very gud in performance and camera but it has a heating issue and made with cheap material
on 9 September 2018,/gp/customer-reviews/R1KDV7W7EAWWNW?ASIN=B01DDP7D6W,4,Naveen,Best mobile under 8 thousandGood looking with decent performance
on 25 February 2017,/gp/customer-reviews/R1Z8A5XKIY3IHZ?ASIN=B01DDP7D6W,5,Yogendra Tripathi,amazing phone but display looks dull when campare to my on5
on 18 November 2017,/gp/customer-reviews/RH2NSZE27545V?ASIN=B01DDP7D6W,1,TUTUN NANDY,Defective one. MicroSD card is not supported.
on 21 October 2017,/gp/customer-reviews/R3B1X8TV3F5KU9?ASIN=B01DDP7D6W,4,Subrata Dhara,I was purchased it on 12.10.17....in my view  its very good ph...camera is very good quality...bt battery isn't  good...
on 1 December 2016,/gp/customer-reviews/RI61II8L0H1OM?ASIN=B01DDP7D6W,5,AVIK SABUI,Product good
date,url,rating,user,opinion
on 19 June 2018,/gp/customer-reviews/R2R1O8DO65FQ93?ASIN=B01DDP7D6W,5,Amazon Customer,india best mobiel on7pro........
on 10 February 2017,/gp/customer-reviews/RV36GGDVA6THM?ASIN=B01DDP7D6W,5,Amazon Customer,VERY GOOD MOBILE
on 14 January 2017,/gp/customer-reviews/R1O63JP3XANMA7?ASIN=B01DDP7D6W,5,Amazon Customer,Average phone
on 8 February 2017,/gp/customer-reviews/R2VGC8DSGS1MAO?ASIN=B01DDP7D6W,5,anwesha,Nice mobile
on 1 August 2018,/gp/customer-reviews/RWILAK70YAD51?ASIN=B01DDP7D6W,5,Amazon Customer,Great quality
on 4 November 2016,/gp/customer-reviews/R2XKBSBR5FL4OG?ASIN=B01DDP7D6W,5,Amazon Customer,This mobile phone on 7pro better than j7 ..7 looking like this old phone but on 7pro looking a new and stylish so this phone is better and lowest price
on 24 May 2017,/gp/customer-reviews/R1N7E8VJMWR9KY?ASIN=B01DDP7D6W,4,Amazon Customer,excellent feature in affordable price... Really good purchase...
on 2 October 2017,/gp/customer-reviews/R1VD3OLLEFMUB?ASIN=B01DDP7D6W,1,Amazon Customer,Not good. Hangs a lot. Waste of money
on 23 May 2018,/gp/customer-reviews/R15XANGX1XEFE3?ASIN=B01DDP7D6W,5,VIRAZ,thanks amazon to give these phone in offer it is very precious...
on 5 May 2018,/gp/customer-reviews/R34YSSPXVJVZMV?ASIN=B01DDP7D6W,3,souvik banerjee,Data cable has been damaged within 1 month of buying. I need it to replace.  Please help me.
date,url,rating,user,opinion
on 7 October 2017,/gp/customer-reviews/R1F2KUURUKTDQB?ASIN=B01DDP7D6W,4,Amazon Customer,Good
on 7 November 2017,/gp/customer-reviews/R3M28U34HSDD24?ASIN=B01DDP7D6W,5,Amazon Customer,Good product with moderate value of money.
on 30 September 2018,/gp/customer-reviews/R1U9CHBCL74CHK?ASIN=B01DDP7D6W,5,Amazon Customer,But battery backup poor.
on 16 June 2018,/gp/customer-reviews/RH9WRVMLAZ6V2?ASIN=B01DDP7D6W,1,Amazon Customer,Missed the return wh due by a day. Phone gets heated and cannot be even put to the ear
on 8 January 2017,/gp/customer-reviews/RF0OK3GZ58CH8?ASIN=B01DDP7D6W,1,Amazon Customer,Worst phone all ways it is strucking. Fully unsatisfied. Even Amazon people didn't supported to me.
on 26 September 2016,/gp/customer-reviews/R125B1WSTJCY9U?ASIN=B01DDP7D6W,5,Sameer,wow
on 19 February 2017,/gp/customer-reviews/R1V7K0XEUWAJ0X?ASIN=B01DDP7D6W,4,Amazon Customer,"After 1 week using i am writing my view. This is good product. Camer , sound quailty is nice. Battery good. Headfone sound also nice. Overall good product"
on 28 January 2018,/gp/customer-reviews/R28Y6EJNJ19BR9?ASIN=B01DDP7D6W,5,Rajesh jha,Nice product all function of the mobile are good. I am very happy
on 31 January 2018,/gp/customer-reviews/R2TIMYVY4C775B?ASIN=B01DDP7D6W,5,Anil30,Satisfied
